mask_id,date,event_description_norm,team_away,team_home,game_key,wager_amount
100245,2025-03-02,Atlanta Hawks @ Memphis Grizzlies,Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks @ Memphis Grizzlies,0
100245,2025-03-02,Chicago Bulls @ Indiana Pacers,Chicago Bulls,Indiana Pacers,Chicago Bulls @ Indiana Pacers,0
100245,2025-03-02,Denver Nuggets @ Boston Celtics,Denver Nuggets,Boston Celtics,Denver Nuggets @ Boston Celtics,5
100245,2025-03-02,Detroit Pistons @ Utah Jazz,Detroit Pistons,Utah Jazz,Detroit Pistons @ Utah Jazz,0
100245,2025-03-02,Golden State Warriors @ Charlotte Hornets,Golden State Warriors,Charlotte Hornets,Golden State Warriors @ Charlotte Hornets,0
100245,2025-03-02,Houston Rockets @ Oklahoma City Thunder,Houston Rockets,Oklahoma City Thunder,Houston Rockets @ Oklahoma City Thunder,0
100245,2025-03-02,Los Angeles Clippers @ Los Angeles Lakers,Los Angeles Clippers,Los Angeles Lakers,Los Angeles Clippers @ Los Angeles Lakers,10
100245,2025-03-02,Minnesota Timberwolves @ Phoenix Suns,Minnesota Timberwolves,Phoenix Suns,Minnesota Timberwolves @ Phoenix Suns,0
100245,2025-03-02,New Orleans Pelicans @ Utah Jazz,New Orleans Pelicans,Utah Jazz,New Orleans Pelicans @ Utah Jazz,0
100245,2025-03-02,New York Knicks @ Miami Heat,New York Knicks,Miami Heat,New York Knicks @ Miami Heat,2.075
100245,2025-03-02,Oklahoma City Thunder @ San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder @ San Antonio Spurs,0
100245,2025-03-02,Portland Trail Blazers @ Cleveland Cavaliers,Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers @ Cleveland Cavaliers,0
100245,2025-03-02,Portland Trail Blazers @ Philadelphia 76Ers,Portland Trail Blazers,Philadelphia 76Ers,Portland Trail Blazers @ Philadelphia 76Ers,0
100245,2025-03-02,Sacramento Kings @ Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Sacramento Kings @ Dallas Mavericks,0
100245,2025-03-02,Toronto Raptors @ Orlando Magic,Toronto Raptors,Orlando Magic,Toronto Raptors @ Orlando Magic,12.075
100245,2025-03-02,Washington Wizards @ Miami Heat,Washington Wizards,Miami Heat,Washington Wizards @ Miami Heat,0
100897,2025-03-03,Atlanta Hawks @ Memphis Grizzlies,Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks @ Memphis Grizzlies,0
100897,2025-03-03,Brooklyn Nets @ San Antonio Spurs,Brooklyn Nets,San Antonio Spurs,Brooklyn Nets @ San Antonio Spurs,0
